Weeks,N,n,Ncad
1,2,1,1
1,2,2,1
1,2,3,1
1,2,4,1
1,2,5,1
1,2,6,1
1,2,7,0
1,2,8,1
1,2,9,1
1,2,10,1
1,2,11,1
1,2,12,1
1,2,13,1
1,2,14,1
1,2,15,1
1,2,16,0
1,2,17,1
1,2,18,1
1,2,19,0
1,2,20,1
1,2,21,1
1,1,1,1
1,1,2,1
1,1,3,1
1,1,4,1
1,1,5,1
1,1,6,0
1,1,7,1
1,1,8,1
1,1,9,1
1,1,10,1
1,1,11,1
1,1,12,0
1,1,13,0
1,1,14,1
1,1,15,0
1,1,16,1
1,1,17,1
6,1,1,0
6,1,2,0
6,1,3,1
6,1,4,0
6,1,5,0
6,1,6,0
6,1,7,0
6,1,8,0
6,1,9,1
6,1,10,0
6,1,11,0
6,1,12,0
6,1,13,0
6,1,14,0
6,1,15,0
6,1,16,1
6,1,17,1
6,1,18,0
6,1,19,1
6,1,20,0
6,1,21,0
6,1,22,0
6,2,1,0
6,2,2,0
6,2,3,0
6,2,4,0
6,2,5,1
6,2,6,1
6,2,7,0
6,2,8,0
6,2,9,1
6,2,10,0
6,2,11,0
6,2,12,0
6,2,13,1
6,2,14,0
6,2,15,0
6,2,16,1
1,3,1,1
1,3,2,1
1,3,3,1
1,3,4,1
1,3,5,1
1,3,6,1
1,3,7,1
1,3,8,1
1,3,9,1
1,3,10,1
1,3,11,1
1,3,12,1
1,3,13,1
1,3,14,1
1,3,15,1
1,3,16,1
1,3,17,1
1,3,18,0
1,3,19,1
1,3,20,1
6,3,1,1
6,3,2,0
6,3,3,1
6,3,4,0
6,3,5,0
6,3,6,1
6,3,7,1
6,3,8,0
6,3,9,1
6,3,10,0
6,3,11,1
6,3,12,0
6,3,13,0
6,3,14,1
6,3,15,1