Weeks,Phenotype,Experiment,n,N
1,0.0625,EdU,19,1
1,0.272727273,EdU,22,2
1,0.0625,EdU,16,3
1,0.170731707,EdU,41,4
1,0.260869565,pHH3,23,5
1,0.064102564,pHH3,78,6
1,0.11111,pHH3,99,7
2,0.2,EdU,25,1
2,0.129,EdU,31,2
2,0.2188,EdU,32,3
3,0.381,EdU,21,1
3,0.2143,EdU,28,2
3,0.375,EdU,24,3
4,0.4545,EdU,11,1
4,0.3333,EdU,15,2
4,0.352941176,EdU,17,3
5,0.5625,EdU,16,1
5,0.3846,EdU,26,2
5,0.4091,EdU,22,3
6,0.785714286,EdU,14,1
6,0.115384615,EdU,26,2
6,0.459459459,EdU,37,3
6,0.954545455,pHH3,22,4
6,0.931034483,pHH3,29,5
6,0.807692308,pHH3,26,6
6,0.5556,pHH3,18,7
6,0.862069,pHH3,29,8