Weeks,Genotype,N,n,Ncad
6,Exp,1,1,1
6,Exp,1,2,1
6,Exp,1,3,1
6,Exp,1,4,1
6,Exp,1,5,0
6,Exp,1,6,1
6,Exp,1,7,1
6,Exp,1,8,1
6,Exp,1,9,1
6,Exp,1,10,1
6,Exp,1,11,1
6,Exp,1,12,0
6,Exp,1,13,0
6,Exp,1,14,0
6,Exp,1,15,1
6,Exp,1,16,1
6,Exp,1,17,1
6,Exp,1,18,1
6,Exp,1,19,1
6,Exp,1,20,1
6,Exp,1,21,1
6,Exp,1,22,0
6,Exp,1,23,1
6,Exp,1,24,1
6,Exp,1,25,0
6,Exp,1,26,0
6,Exp,1,27,1
6,Exp,1,28,0
6,Exp,1,29,0
6,Exp,1,30,0
6,Exp,1,31,0
6,Exp,1,32,0
6,Exp,1,33,0
6,Exp,1,34,1
6,Exp,1,35,0
6,Exp,1,36,1
6,Exp,1,37,1
6,Exp,1,38,0
6,Exp,1,39,1
6,Control,1,1,0
6,Control,1,2,1
6,Control,1,3,0
6,Control,1,4,0
6,Control,1,5,1
6,Control,1,6,0
6,Control,1,7,0
6,Control,1,8,0
6,Control,1,9,1
6,Control,1,10,1
6,Control,1,11,1
6,Control,1,12,0
6,Control,1,13,0
6,Control,1,14,0
6,Control,1,15,0
6,Control,1,16,1
6,Control,1,17,1
6,Control,1,18,1
6,Control,1,19,0
6,Control,1,20,0
6,Control,1,21,0
6,Control,1,22,0
6,Control,1,23,0
6,Exp,2,1,1
6,Exp,2,2,0
6,Exp,2,3,1
6,Exp,2,4,1
6,Exp,2,5,1
6,Exp,2,6,0
6,Exp,2,7,1
6,Exp,2,8,0
6,Exp,2,9,1
6,Exp,2,10,1
6,Exp,2,11,1
6,Exp,2,12,0
6,Exp,2,13,1
6,Exp,2,14,0
6,Exp,2,15,0
6,Exp,2,16,1
6,Exp,2,17,1
6,Exp,2,18,1
6,Exp,2,19,1
6,Exp,2,20,1
6,Exp,2,21,1
6,Exp,2,22,1
6,Exp,2,23,1
6,Exp,2,24,0
6,Exp,2,25,1
6,Exp,2,26,1
6,Exp,2,27,1
6,Exp,2,28,0
6,Exp,2,29,1
6,Exp,2,30,0
6,Exp,2,31,1
6,Exp,2,32,1
6,Exp,2,33,0
6,Exp,2,34,1
6,Exp,2,35,1
6,Exp,2,36,0
6,Exp,2,37,1
6,Exp,2,38,1
6,Exp,2,39,0
6,Exp,2,40,1
6,Exp,2,41,1
6,Exp,2,42,1
6,Exp,2,43,0
6,Exp,2,44,1
6,Exp,2,45,1
6,Exp,2,46,1
6,Exp,2,47,1
6,Exp,2,48,1
6,Exp,2,49,0
6,Exp,2,50,0
6,Exp,2,51,1
6,Exp,2,52,1
6,Exp,2,53,1
6,Control,2,1,1
6,Control,2,2,1
6,Control,2,3,0
6,Control,2,4,1
6,Control,2,5,1
6,Control,2,6,1
6,Control,2,7,0
6,Control,2,8,0
6,Control,2,9,0
6,Control,2,10,0
6,Control,2,11,0
6,Control,2,12,0
6,Control,2,13,1
6,Control,2,14,1
6,Control,2,15,1
6,Control,2,16,0
6,Control,2,17,1
6,Control,2,18,1
6,Control,2,19,1
6,Control,2,20,0
6,Control,2,21,0
6,Control,2,22,0
6,Control,2,23,1
6,Control,2,24,1
6,Control,2,25,1
6,Control,2,26,1
6,Control,2,27,1
6,Control,2,28,0
6,Control,2,29,1
6,Control,2,30,0
6,Control,2,31,0
6,Control,2,32,1
6,Control,2,33,1
6,Control,2,34,1
6,Control,2,35,1
6,Control,2,36,0
6,Control,2,37,1
6,Control,2,38,1
6,Control,2,39,0
6,Control,2,40,1
6,Control,2,41,1
6,Control,2,42,0
6,Exp,3,1,1
6,Exp,3,2,1
6,Exp,3,3,0
6,Exp,3,4,1
6,Exp,3,5,1
6,Exp,3,6,1
6,Exp,3,7,1
6,Exp,3,8,0
6,Exp,3,9,1
6,Exp,3,10,1
6,Exp,3,11,0
6,Exp,3,12,0
6,Exp,3,13,1
6,Exp,3,14,1
6,Exp,3,15,1
6,Exp,3,16,1
6,Exp,3,17,0
6,Exp,3,18,0
6,Exp,3,19,1
6,Exp,3,20,1
6,Exp,3,21,1
6,Exp,3,22,0
6,Exp,3,23,1
6,Exp,3,24,1
6,Exp,3,25,0
6,Exp,3,26,1
6,Control,3,1,1
6,Control,3,2,0
6,Control,3,3,0
6,Control,3,4,1
6,Control,3,5,0
6,Control,3,6,0
6,Control,3,7,0
6,Control,3,8,0
6,Control,3,9,1
6,Control,3,10,1
6,Control,3,11,1
6,Control,3,12,1
6,Control,3,13,0
6,Control,3,14,0
6,Control,3,15,0
6,Control,3,16,0
6,Control,3,17,0
6,Control,3,18,0
6,Control,3,19,1
6,Control,3,20,0
6,Control,3,21,0
6,Control,3,22,0
6,Control,3,23,0
6,Control,3,24,1
6,Control,3,25,0
6,Control,3,26,1
6,Control,3,27,0
6,Control,3,28,1
6,Control,3,29,0
6,Control,3,30,0
6,Control,3,31,1
6,Control,3,32,1
6,Control,3,33,1
6,Control,3,34,1
6,Control,3,35,0
6,Control,3,36,0