Weeks,N,n,VkgIntensity
1,1,1,419.7040
1,1,2,447.6200
1,1,3,491.2870
1,1,4,613.0880
1,1,5,592.6040
1,1,6,424.1550
1,1,7,525.0970
1,1,8,563.4200
6,1,1,245.631
6,1,2,710.104
6,1,3,195.019
6,1,4,101.524
6,1,5,103.526
6,1,6,75.522
6,1,7,125.783
6,1,8,43.868
6,1,9,123.441
1,2,1,224.95
1,2,2,152.403
1,2,3,259.554
1,2,4,278.414
1,2,5,295.674
1,2,6,240.737
1,2,7,441.997
1,2,8,187.147
1,2,9,377.603
6,2,1,34.215
6,2,2,5.094
6,2,3,17.197
6,2,4,67.249
6,2,5,54.855
6,2,6,128.39
6,2,7,87.234
6,2,8,81.659
6,2,9,128.961
1,3,1,522.182
1,3,2,429.922
1,3,3,529.001
1,3,4,668.293
1,3,5,420.607
1,3,6,491.329
1,3,7,252.847
1,3,8,401.772
1,3,9,490.52
6,3,1,559.819
6,3,2,414.775
6,3,3,462.364
6,3,4,216.94
6,3,5,394.637
6,3,6,438.524
6,3,7,498.726
6,3,8,606.981
6,3,9,607.233